wellid,RELATEID,DRILL_METH,DRILL_FLUD,HYDROFRAC,HFFROM,HFTO,CASE_MAT,CASE_JOINT,CASE_TOP,DRIVE_SHOE,CASE_TYPE,SCREEN,OHTOPFEET,OHBOTFEET,SCREEN_MFG,SCREEN_TYP,PTLSS_MFG,PTLSS_MDL,BSMT_OFFST,CSG_TOP_OK,CSG_AT_GRD,PLSTC_PROT,DISINFECTD,PUMP_INST,PUMP_DATE,PUMP_MFG,PUMP_MODEL,PUMP_HP,PUMP_VOLTS,DROPP_LEN,DROPP_MAT,PUMP_CPCTY,PUMP_TYPE,VARIANCE,DRLLR_NAME,ENTRY_DATE,UPDT_DATE
14082,0000014082,,,,,,,,0.0,,C,,,,,,,,,,,,,,,,,0.0,,,,,,,,19910814,19910823
14084,0000014084,,,,,,,,0.0,,C,,,,,,,,,,,,,Y,,,,0.0,,,,,S,,,19910814,19910823
20956,0000020956,K,A,,,,,O,,Y,C,,,,,,,,,,,,,,,,,,,,,,,,,,
105290,0000105290,N,,,,,,,0.0,,C,Y,,,JOHNSON,L,,,,,,,Y,Y,19770303,STA-RITE,,0.5,,54.0,G,,S,,,19910415,19910704
126305,0000126305,N,,,,,S,T,0.0,,C,Y,,,JOHNSON,L,,,,,,,Y,Y,19770302,STA-RITE,,0.5,,54.0,G,,S,,,19910415,19910704
171802,0000171802,T,,,,,S,T,,,C,N,190.0,215.0,,,SNAPPY,,,,,,Y,Y,19820513,FAIRBANKS MORSE,5008,0.5,230,48.0,P,,S,,"SCHROEPFER, T",19910415,19960221
195748,0000195748,N,,,,,S,T,1.0,Y,C,N,334.0,375.0,,,SNAPPY,,,Y,,,Y,Y,19840322,RED JACKET,BVC,1.0,230,200.0,G,15.0,S,,"MCCULLOUGH, D",19880915,19910814
200828,0000200828,,,,,,S,,,,C,N,336.0,428.0,,,,,,,,,,Y,,FAIRBANKS MORSE,,60.0,440,208.0,,500.0,S,,,19880412,19950926
200830,0000200830,T,W,,,,S,,,,C,N,338.0,400.0,,,WHITEWATER,,,,,,,Y,19650526,MYERS,200K4N12CB,3.0,240,126.0,G,40.0,S,,,19901019,19910814
209246,0000209246,,,,,,S,,0.0,,C,Y,,,,,,,,,,,,,,,,0.0,,,,,,,"SHERMAN, L.",19910415,19910704
278795,0000278795,,,,,,,O,,,C,,,,,,,,,,,,,,,,,,,,,,,,,20180305,
329310,0000329310,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"KUCK, T.",20070606,
329324,0000329324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"KUCK, T.",20070605,
337643,0000337643,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20170130,
413668,0000413668,T,,,,,S,T,,,C,N,190.0,215.0,,,SNAPPY,,,,,,Y,Y,19820513,FAIRBANKS MORSE,5008,0.5,230,48.0,P,,S,,"SCHROEPFER, T",19910415,19960221
461415,0000461415,P,,,,,S,T,2.5,,C,Y,,,JOHNSON,L,,,,Y,,,,N,,,,,,,,,,,"ETI, INC.",20071015,
469382,0000469382,V,,,,,P,,2.0,,C,Y,,,JOHNSON,P,,,,Y,,,,N,,,,,,,,,,,"ANDERSON, J.",20071015,
509077,0000509077,T,,,,,S,W,2.0,Y,S,N,299.0,436.0,,,,,,,,,Y,Y,19900423,JACUZZI,10 ME,100.0,460,210.0,S,750.0,T,,UNERTL,19921229,19951017
623759,0000623759,N,O,,,,P,W,,,C,Y,,,JOHNSON,L,MERRILL,MCK5.5,,Y,,Y,N,,19990624,AERMOTOR,12T50,0.5,230,60.0,,12.0,S,N,"MCALPINE, T.",19990909,
625657,0000625657,K,W,Y,150.0,240.0,S,W,,Y,C,N,139.0,240.0,,,,,,U,,,Y,N,,,,,,,,,,N,"SUNNARBORG, H",20000315,20011214
632759,0000632759,N,O,,,,P,W,,,C,Y,,,JOHNSON,L,MERRILL,MCK5.5,,Y,,,N,,19990624,AERMOTOR,12T50,0.5,230,60.0,,12.0,S,N,"MCALPINE, T.",19990921,19991021
681508,0000681508,K,W,Y,135.0,240.0,S,W,,Y,C,N,121.0,240.0,,,,,,U,,,Y,,,,,,,,,,S,N,"SUNNARBORG, C",20020909,
