wellid,RELATEID,CONSTYPE,FROM_DEPTH,TO_DEPTH,DIAMETER,SLOT,LENGTH,MATERIAL,AMOUNT,UNITS
14082,0000014082,C,0.0,174.0,6.0,,,,,
14084,0000014084,C,0.0,174.0,6.0,,,,,
20956,0000020956,C,31.0,71.0,3.5,,,,8.6,
20956,0000020956,H,,71.0,4.5,,,,,
20956,0000020956,H,,164.0,2.75,,,,,
20956,0000020956,H,,812.0,2.25,,,,,
20956,0000020956,G,2.0,812.0,,,,G,1.5,Y
105290,0000105290,C,0.0,123.0,4.0,,,,,
105290,0000105290,S,,,2.0,,,,,
126305,0000126305,C,0.0,123.0,4.0,,,,,
126305,0000126305,S,,,2.0,,,,,
171802,0000171802,C,0.0,190.0,4.0,,,,,
171802,0000171802,H,,215.0,4.0,,,,,
195748,0000195748,C,0.0,334.0,4.0,,,,11.0,
195748,0000195748,H,,334.0,9.0,,,,,
195748,0000195748,H,,375.0,4.0,,,,,
195748,0000195748,G,,334.0,,,,G,,
200828,0000200828,C,0.0,336.0,12.0,,,,,
200828,0000200828,H,0.0,428.0,19.0,,,,,
200828,0000200828,G,9.0,345.0,0.0,,0.0,G,26.0,Y
200830,0000200830,C,0.0,338.0,4.0,,,,,
200830,0000200830,H,,400.0,8.0,,,,,
200830,0000200830,G,,338.0,,,,G,80.0,S
209246,0000209246,C,0.0,62.0,4.0,,,,,
209246,0000209246,S,,,2.0,,4.5,,,
278795,0000278795,C,0.0,62.0,4.0,,,,,
329310,0000329310,G,,78.0,,,,B,5.0,S
329324,0000329324,C,0.0,0.0,0.0,,,,,
329324,0000329324,G,,127.0,,,,B,15.0,S
413668,0000413668,C,0.0,190.0,4.0,,,,,
413668,0000413668,H,,215.0,4.0,,,,,
461415,0000461415,C,,12.5,2.0,,,,,
461415,0000461415,H,,23.5,8.0,,,,,
461415,0000461415,S,12.5,22.5,2.0,10.0,10.0,,,
461415,0000461415,G,2.0,8.6,,,,G,0.0,
469382,0000469382,C,,14.0,2.0,,,,,
469382,0000469382,H,,25.0,6.75,,,,,
469382,0000469382,S,14.0,24.0,2.0,10.0,10.0,,,
469382,0000469382,G,,10.0,,,,G,,
469382,0000469382,G,10.0,12.0,,,,B,,
509077,0000509077,C,0.0,91.0,18.0,,,,,
509077,0000509077,C,0.0,299.0,12.0,,,,,
509077,0000509077,H,0.0,436.0,18.0,,,,,
509077,0000509077,G,0.0,299.0,0.0,,0.0,G,34.5,Y
623759,0000623759,G,0.0,30.0,,,,B,2.0,S
623759,0000623759,G,30.0,84.0,,,,,,
623759,0000623759,C,0.0,84.0,4.0,,,,,
623759,0000623759,H,,84.0,6.5,,,,,
623759,0000623759,S,84.0,92.0,2.0,7.0,8.0,,,
625657,0000625657,C,0.0,139.0,6.0,,,,18.97,
625657,0000625657,H,,240.0,6.0,,,,,
632759,0000632759,C,0.0,84.0,4.0,,,,,
632759,0000632759,H,,84.0,6.5,,,,,
632759,0000632759,S,84.0,92.0,2.0,7.0,8.0,,,
632759,0000632759,G,0.0,30.0,,,,H,2.0,S
632759,0000632759,G,30.0,84.0,,,,C,,
681508,0000681508,C,0.0,121.0,6.0,,,,18.97,
681508,0000681508,H,,240.0,6.0,,,,,
