wellid,RELATEID,IDENTIFIER,ID_TYPE,ID_PROG
14082,0000014082,14084,MDH,MNUNIQ
14084,0000014084,14082,MDH,MNUNIQ
20956,0000020956,12366,MNDNR,MIN
195748,0000195748,H296073,MDH,WMWSR
200828,0000200828,223868,MDH,MNUNIQ
200828,0000200828,H230684,MDH,WMWSR
200828,0000200828,1961-0538,MNDNR,PA
329310,0000329310,H245175,MDH,WMWSR
329324,0000329324,H225596,MDH,WMWSR
337643,0000337643,14360,MNDNR,MIN
461415,0000461415,H170684,MDH,WMWSR
509077,0000509077,3011,MGS,CUTTING
509077,0000509077,1986-6114,MNDNR,PA
