wellid,RELATEID,COUNTY_C,UNIQUE_NO,WELLNAME,TOWNSHIP,RANGE,RANGE_DIR,SECTION,SUBSECTION,MGSQUAD_C,ELEVATION,ELEV_MC,STATUS_C,USE_C,LOC_MC,LOC_SRC,DATA_SRC,DEPTH_DRLL,DEPTH_COMP,DATE_DRLL,CASE_DIAM,CASE_DEPTH,GROUT,POLLUT_DST,POLLUT_DIR,POLLUT_TYP,STRAT_DATE,STRAT_UPD,STRAT_SRC,STRAT_GEOL,STRAT_MC,DEPTH2BDRK,FIRST_BDRK,LAST_STRAT,OHTOPUNIT,OHBOTUNIT,AQUIFER,CUTTINGS,CORE,BHGEOPHYS,GEOCHEM,WATERCHEM,OBWELL,SWL,DH_VIDEO,INPUT_SRC,UNUSED,ENTRY_DATE,UPDT_DATE
14082,0000014082,62,14082,B. R.,30,22,W,5,CDCDCB,119D,,L1,A,DO,1,MGS,62136,232.0,232.0,19701100,6.0,174.0,,,,,19910823,20170620,,,,160.0,OPDC,OPDC,OPDC,OPDC,OPDC,,,,,,,Y,,MGS,,19910814,20170620
14084,0000014084,62,14084,B. R.,30,22,W,5,CDCDCB,119D,,L1,A,DO,1,MGS,62136,232.0,232.0,19701119,6.0,174.0,,,,,19910823,19910823,,,,160.0,OPDC,OPDC,OPDC,OPDC,OPDC,,,,,,,,,MGS,,19910814,20210113
20956,0000020956,39,20956,BD-N-1,158,34,W,26,DACABB,410B,,T,S,EX,5,MGS,,812.0,812.0,19860324,3.5,71.0,Y,,,,20060307,20060316,,,,71.0,PCCR,PCCR,,,,,Y,,,,,,,MGS,,,20201110
105290,0000105290,2,105290,,32,25,W,14,ABADAC,136C,,T,A,DO,1,MGS,27056,128.0,128.0,19770301,4.0,123.0,,,,,19910704,20031007,MGS,EB,Q,,,QFUU,QFUU,QFUU,QBAA,,,,,,,Y,,MGS,,19910415,20140214
126305,0000126305,2,126305,,32,25,W,14,ABADAC,136C,,T,A,DO,1,MGS,27056,128.0,128.0,19770301,4.0,123.0,Y,,,,19910704,20031007,MGS,EB,Q,,,QFUU,QFUU,QFUU,QBAA,,,,,,,Y,,MGS,,19910415,20140214
171802,0000171802,2,171802,R. C.,31,22,W,5,DDABDD,119A,,T,A,DO,1,MGS,62119,215.0,215.0,19820513,4.0,190.0,N,,W,SDF,19960221,19960221,MGS,JM,Q,120.0,CJDN,CJSL,CJSL,CJSL,CJSL,,,,,,,Y,,MGS,,19910415,20140214
195748,0000195748,19,195748,C.G. REIN CO.,28,23,W,23,ABCBCC,103B,,T,S,CO,1,MGS,82054,375.0,375.0,19840309,4.0,334.0,Y,,E,SEW,19910814,20190102,MGS,JM,Q,0.0,OPVL,CJDN,CJDN,CJDN,CJDN,,,,,,,Y,,MGS,,19880915,20190102
200828,0000200828,19,200828,ECON LAB INC,28,23,W,23,AAABAB,103B,,T,S,CO,7,MGS,62012,429.0,428.0,19610800,12.0,336.0,Y,,,,19950926,20190102,MGS,BO,Q,3.0,OPVL,CJDN,CSTL,CJDN,CJDN,,,,,,,Y,,MGS,,19880412,20190102
200830,0000200830,19,200830,DIAMOND JIM'S,28,23,W,23,ABABAB,103B,,T,A,CO,1,MGS,27015,400.0,400.0,19650526,4.0,338.0,Y,,,,19910814,20190102,MGS,JM,Q,0.0,OPVL,CJDN,CJDN,CJDN,CJDN,,,,,,,Y,,MGS,,19901019,20190102
209246,0000209246,2,209246,S. A.,32,25,W,1,ADDADC,136C,,T,A,DO,1,MGS,02316,67.0,67.0,19720911,4.0,62.0,,,,,19910704,20070103,MGS,EB,Q,,,QFUB,QFUB,QFUB,QBAA,,,,,,,Y,,MGS,,19910415,20170113
278795,0000278795,2,278795,,32,25,W,1,,,,,A,DO,,,02316,67.0,67.0,19720911,4.0,62.0,,,,,20180305,20180305,,,,,,,,,,,,,,,,Y,,MGS,,20180305,20180831
329310,0000329310,64,329310,C. M. TH-2,111,37,W,27,AACADA,80A,,T,S,TW,S,MGS,1493,78.0,78.0,20060502,,,Y,,,,20070606,20120113,MGS,DS,Q,,,QFUB,,,,,,,,,,,,MGS,,20070606,20140310
329324,0000329324,64,329324,J. L.,110,36,W,11,CBBBCB,79C,,T,S,EN,1,MGS,08258,127.0,127.0,20050308,5.0,0.0,Y,,,,20070605,20120216,MGS,DS,Q,117.0,KREG,KREG,,,,,,,,,,,,MGS,,20070605,20140310
337643,0000337643,16,337643,K-1 NEW JERSEY ZINC,61,2,E,8,CACBBD,340C,,S,U,EX,S,MGS,,564.0,564.0,19690000,,,,,,,,20170130,,,,133.0,PCUU,PCUU,,,,,Y,,,,,,,MGS,,20170130,20170130
413668,0000413668,2,413668,R. C.,31,22,W,5,DDABDD,119A,,T,A,DO,5,MGS,62119,215.0,215.0,19820513,4.0,190.0,N,,W,SDF,19960221,19960221,MGS,JM,Q,120.0,CJDN,CJSL,CJSL,CJSL,CJSL,,,,,,,Y,,MGS,,19910415,20140214
461415,0000461415,19,461415,MW-3,28,23,W,23,BDADDB,103B,,L1,S,MW,T,CE/H,M0054,24.0,23.0,19910320,2.0,12.5,Y,,SW,TAN,,20181227,MGS,JRS,Q,7.0,OPVL,OPVL,OPVL,OPVL,OPVL,,,,,,,,,MGS,,19921204,20181227
469382,0000469382,19,469382,MW-2,28,23,W,23,BD,103B,,,S,MW,,,49588,25.0,25.0,19900606,2.0,14.0,Y,,,,,20071015,,,,,,,,,,,,,,,,,,MGS,N,19921204,20181227
509077,0000509077,19,509077,M. C.C. NO.2,28,23,W,26,DBDABC,103B,,L1,A,IR,5,MGS,62012,436.0,436.0,19900200,12.0,299.0,Y,,,,19951017,20210121,MGS,JRS,Q,91.0,OPVL,CJDN,OPDC,CJDN,OPCJ,Y,,,,,,Y,,MGS,N,19921229,20210121
623759,0000623759,2,623759,RENOWN CONSTRUCTION,32,23,W,13,,135C,,,A,DO,,,27695,92.0,92.0,19990622,4.0,84.0,Y,,N,SDF,,,,,,,,,,,,,,,,,,Y,,MGS,N,19990909,0
625657,0000625657,9,625657,K. N.,49,16,W,34,AACDAB,224A,,T,A,DO,T,MGS,09437,240.0,240.0,19990607,6.0,139.0,,,W,SDF,,20191003,MGS,TB,Q,139.0,PEVT,PEVT,PEVT,PEVT,PEVT,,,,,,,Y,,MDH,N,20000315,2019103
632759,0000632759,2,632759,,32,23,W,13,BDCAAC,135C,,T,A,DO,1,CSW,27695,92.0,92.0,19990622,4.0,84.0,Y,,N,SDF,,20100224,MGS,EB,Q,,,QFUU,QFUU,QFUU,QBAA,,,,,,,Y,,MDH,N,19990921,20100224
681508,0000681508,9,681508,K. N.,49,16,W,34,AADCAD,224A,,T,A,DO,T,MGS,09437,240.0,240.0,20020813,6.0,121.0,U,,E,SDF,20020909,20191003,MGS,TB,Q,121.0,PEVT,PEVT,PEVT,PEVT,PEVT,,,,,,,Y,,MDH,N,20020909,2019103
861015,0000861015,21,861015,,,,W,,BABBBC,180D,1417.3,L1,,,1,MGS,,0.0,0.0,,0.0,0.0,,,,,,,,,,0.0,,,,,,,,,,,,,,MGS,,,
1000026260,1000026260,2,1000026260,,,,W,,ACBCDC,119C,889,L1,A,DO,5,MDH,,0.0,0.0,,3.0,0.0,,,,,,,,,,0.0,,,,,,,,,,,,,,MGS,,,
