wellid,CWI_loc,RELATEID,COUNTY_C,UNIQUE_NO,WELLNAME,TOWNSHIP,RANGE,RANGE_DIR,SECTION,SUBSECTION,MGSQUAD_C,ELEVATION,ELEV_MC,STATUS_C,USE_C,LOC_MC,LOC_SRC,DATA_SRC,DEPTH_DRLL,DEPTH_COMP,DATE_DRLL,CASE_DIAM,CASE_DEPTH,GROUT,POLLUT_DST,POLLUT_DIR,POLLUT_TYP,STRAT_DATE,STRAT_UPD,STRAT_SRC,STRAT_GEOL,STRAT_MC,DEPTH2BDRK,FIRST_BDRK,LAST_STRAT,OHTOPUNIT,OHBOTUNIT,AQUIFER,CUTTINGS,CORE,BHGEOPHYS,GEOCHEM,WATERCHEM,OBWELL,SWL,DH_VIDEO,INPUT_SRC,UNUSED,ENTRY_DATE,UPDT_DATE,GEOC_TYPE,GCM_CODE,GEOC_SRC,GEOC_PRG,UTME,UTMN,GEOC_ENTRY,GEOC_DATE,GEOCUPD_EN,GEOCUPD_DA,RCVD_DATE,WELL_LABEL,SWLCOUNT,SWLDATE,SWLAVGMEAS,SWLAVGELEV
14082,loc,0000014082,62,14082,B. R.,,,W,,CDCDCB,119D,910.0,L1,A,DO,1,MGS,62136,232.0,232.0,,6.0,174.0,,,,,,,,,,160.0,OPDC,OPDC,OPDC,OPDC,OPDC,,,,,,,Y,,MGS,,,,WW,DS1,MGS,CWI,493678.0,4994997.0,,,,,,14082,,,40.0,870.0
14084,loc,0000014084,62,14084,B. R.,,,W,,CDCDCB,119D,908.8,L1,A,DO,1,MGS,62136,232.0,232.0,,6.0,174.0,,,,,,,,,,160.0,OPDC,OPDC,OPDC,OPDC,OPDC,,,,,,,,,MGS,,,,WW,DS1,MGS,CWI,493678.0,4994997.0,,,,,,14084,,,0.0,0.0
20956,loc,0000020956,39,20956,BD-N-1,,,W,,DACABB,410B,1200.0,T,S,EX,5,MGS,,812.0,812.0,,3.5,71.0,Y,,,,,,,,,71.0,PCCR,PCCR,,,,,Y,,,,,,,MGS,,,,EX,DS1,MGS,CWI,353868.0,5370772.0,,,,,,20956,,,0.0,0.0
105290,loc,0000105290,2,105290,,,,W,,ABADAC,136C,876.0,T,A,DO,1,MGS,27056,128.0,128.0,,4.0,123.0,,,,,,,MGS,EB,Q,0.0,,QFUU,QFUU,QFUU,QBAA,,,,,,,Y,,MGS,,,,WW,A,MGS,CWI,467495.0,5012919.0,,,,,,105290,,,15.0,861.0
126305,loc,0000126305,2,126305,,,,W,,ABADAC,136C,876.0,T,A,DO,1,MGS,27056,128.0,128.0,,4.0,123.0,Y,,,,,,MGS,EB,Q,0.0,,QFUU,QFUU,QFUU,QBAA,,,,,,,Y,,MGS,,,,WW,A,MGS,CWI,467495.0,5012921.0,,,,,,126305,,,25.0,851.0
171802,loc,0000171802,2,171802,R.C.,,,W,,DDABDD,119A,910.0,T,A,DO,1,MGS,62119,215.0,215.0,,4.0,190.0,N,,W,SDF,,,MGS,JM,Q,120.0,CJDN,CJSL,CJSL,CJSL,CJSL,,,,,,,Y,,MGS,,,,WW,DS1,MGS,CWI,491908.0,5005086.0,,,,,,171802,,,15.0,895.0
195748,loc,0000195748,19,195748,C.G. REIN CO.,,,W,,ABCBCC,103B,800.0,T,S,CO,1,MGS,82054,375.0,375.0,,4.0,334.0,Y,,E,SEW,,,MGS,JM,Q,0.0,OPVL,CJDN,CJDN,CJDN,CJDN,,,,,,,Y,,MGS,,,,WW,DS1,MGS,CWI,489235.0,4972128.0,,,,,,195748,,,180.0,620.0
200828,loc,0000200828,19,200828,ECON LAB INC,,,W,,AAABAB,103B,809.0,T,S,CO,7,MGS,62012,429.0,428.0,,12.0,336.0,Y,,,,,,MGS,BO,Q,3.0,OPVL,CJDN,CSTL,CJDN,CJDN,,,,,,,Y,,MGS,,,,WW,DS1,MGS,CWI,489896.0,4972420.0,,,,,,200828,,,91.0,718.0
200830,loc,0000200830,19,200830,DIAMOND JIM'S,,,W,,ABABAB,103B,802.0,T,A,CO,1,MGS,27015,400.0,400.0,,4.0,338.0,Y,,,,,,MGS,JM,Q,0.0,OPVL,CJDN,CJDN,CJDN,CJDN,,,,,,,Y,,MGS,,,,WW,DS1,MGS,CWI,489498.0,4972413.0,,,,,,200830,,,90.0,712.0
209246,loc,0000209246,2,209246,S. A.,,,W,,ADDADC,136C,861.0,T,A,DO,1,MGS,02316,67.0,67.0,,4.0,62.0,,,,,,,MGS,EB,Q,0.0,,QFUB,QFUB,QFUB,QBAA,,,,,,,Y,,MGS,,,,WW,A,MGS,CWI,469497.0,5015551.0,,,,,,209246,,,12.0,849.0
278795,unloc,0000278795,2,278795,,,,W,,,,0.0,,A,DO,,,02316,67.0,67.0,,4.0,62.0,,,,,,,,,,0.0,,,,,,,,,,,,Y,,MGS,,,,,PS,,,468742.0,5015435.0,,,,,,278795,,,0.0,0.0
329310,loc,0000329310,64,329310,C. M. TH-2,,,W,,AACADA,80A,1091.0,T,S,TW,S,MGS,1493,78.0,78.0,,0.0,0.0,Y,,,,,,MGS,DS,Q,0.0,,QFUB,,,,,,,,,,,,MGS,,,,,DS2,MGS,CWI,319073.0,4918436.0,,,,,,329310,,,0.0,0.0
329324,loc,0000329324,64,329324,J. L.,,,W,,CBBBCB,79C,1078.0,T,S,EN,1,MGS,08258,127.0,127.0,,5.0,0.0,Y,,,,,,MGS,DS,Q,117.0,KREG,KREG,,,,,,,,,,,,MGS,,,,,DS2,MGS,CWI,328869.0,4912609.0,,,,,,329324,,,0.0,0.0
337643,loc,0000337643,16,337643,K-1 NEW JERSEY ZINC,,,E,,CACBBD,340C,669.37,S,U,EX,S,MGS,,564.0,564.0,,0.0,0.0,,,,,,,,,,133.0,PCUU,PCUU,,,,,Y,,,,,,,MGS,,,,,DS1,MGS,CWI,707724.0,5295408.0,,,,,,337643,,,0.0,0.0
413668,loc,0000413668,2,413668,R. C.,,,W,,DDABDD,119A,910.0,T,A,DO,5,MGS,62119,215.0,215.0,,4.0,190.0,N,,W,SDF,,,MGS,JM,Q,120.0,CJDN,CJSL,CJSL,CJSL,CJSL,,,,,,,Y,,MGS,,,,WW,DS2,MGS,CWI,491908.0,5005086.0,,,,,,413668,,,15.0,895.0
461415,loc,0000461415,19,461415,MW-3,,,W,,BDADDB,103B,812.0,L1,S,MW,T,CE/H,M0054,24.0,23.0,,2.0,12.5,Y,,SW,TAN,,,MGS,JRS,Q,7.0,OPVL,OPVL,OPVL,OPVL,OPVL,,,,,,,,,MGS,,,,MW,DS2,MGS,CWI,489183.0,4971852.0,,,,,,461415,,,0.0,0.0
469382,unloc,0000469382,19,469382,MW-2,,,W,,BD,103B,0.0,,S,MW,,,49588,25.0,25.0,,2.0,14.0,Y,,,,,,,,,0.0,,,,,,,,,,,,,,MGS,N,,,,PQ2,,,489028.0,4971823.0,,,,,,469382,,,0.0,0.0
