wellid,RELATEID,DEPTH_TOP,DEPTH_BOT,DRLLR_DESC,COLOR,HARDNESS,STRAT,LITH_PRIM,LITH_SEC,LITH_MINOR
14082,0000014082,0.0,50.0,SAND & CLAY,,,QUUU,SAND,CLAY,
14082,0000014082,50.0,160.0,SAND & GRAVEL & CLAY,,,QUUU,SAND,GRVL,CLAY
14082,0000014082,160.0,174.0,BROKEN UP ROCK,,,OPDC,DLMT,,
14082,0000014082,174.0,232.0,ROCK,,,OPDC,DLMT,,
14084,0000014084,0.0,50.0,SAND & CLAY,,,QUUU,SAND,CLAY,
14084,0000014084,50.0,160.0,SAND & GRAVEL & CLAY,,,QUUU,SAND,GRVL,CLAY
14084,0000014084,160.0,174.0,BROKEN ROCK,,,OPDC,DLMT,,
14084,0000014084,174.0,232.0,ROCK,,,OPDC,DLMT,,
20956,0000020956,0.0,71.0,"OVERBURDEN - CLAY, SAND",TAN,SOFT,QLUB,CLAY,SAND,
20956,0000020956,71.0,443.0,INT. - MAFIC VOLCANICS,DK. GRN,MEDIUM,PCCR,VOLU,,
20956,0000020956,443.0,540.0,INTERBEDED MAGNETIC IRON FORMATION,GRN/GRY,HARD,PCCR,IRFM,,
20956,0000020956,540.0,717.0,"""MASSIVE SULFIDE"" - 25",,MEDIUM,PCCR,BDRK,,
20956,0000020956,717.0,723.0,INT. PORPH. DIKE,GRAY,MEDIUM,PCCR,BDRK,,
20956,0000020956,723.0,732.0,SULFIDE ZONE,,MEDIUM,PCCR,BDRK,,
20956,0000020956,732.0,753.0,PORPHYRY DIKE,GRAY,MEDIUM,PCCR,BDRK,,
20956,0000020956,753.0,812.0,SULFIDE ZONE,,MEDIUM,PCCR,BDRK,,
105290,0000105290,0.0,10.0,SAND,,,QFUU,SAND,,
105290,0000105290,10.0,40.0,CLAY,,,QCUU,CLAY,,
105290,0000105290,40.0,80.0,GRAVEL & ROCKS,,,QGUU,COBL,,
105290,0000105290,80.0,128.0,WATER SAND,,,QFUU,SAND,,
126305,0000126305,0.0,10.0,SAND,,,QFUU,SAND,,
126305,0000126305,10.0,40.0,CLAY,,,QCUU,CLAY,,
126305,0000126305,40.0,80.0,GRAVEL & ROCKS,,,QGUU,GRVL,COBL,
126305,0000126305,80.0,128.0,WATER SAND,,,QFUU,SAND,,
171802,0000171802,0.0,27.0,FINE SAND,BROWN,SOFT,QFUB,SAND,,
171802,0000171802,27.0,40.0,CLAY,RED,SOFT,QCUR,CLAY,,
171802,0000171802,40.0,51.0,CLAY,BROWN,SOFT,QCUB,CLAY,,
171802,0000171802,51.0,60.0,FINE SAND,RED,SOFT,QFUR,SAND,,
171802,0000171802,60.0,120.0,MUDDY SAND,BROWN,SOFT,QNUB,SAND,MUDD,
171802,0000171802,120.0,190.0,SANDROCK,WHITE,SOFT,CJDN,SNDS,,
171802,0000171802,190.0,215.0,SANDROCK,WHITE,HARD,CJSL,SNDS,,
195748,0000195748,0.0,33.0,LIMEROCK,,,OPGW,LMSN,SHLE,
195748,0000195748,33.0,190.0,SANDROCK,,,OSTP,SNDS,,
195748,0000195748,190.0,320.0,SHAKOPEE,,,OPDC,DLMT,,
195748,0000195748,320.0,375.0,JORDAN,,,CJDN,SNDS,,
200828,0000200828,0.0,3.0,TOPSOIL,,,RUUU,SOIL,,
200828,0000200828,3.0,32.0,LIMEROCK,,,OPGW,LMSN,SHLE,
200828,0000200828,32.0,36.0,SOAPSTONE,,,OGWD,SHLE,,
200828,0000200828,36.0,198.0,ST PETER SANDROCK,,,OSTP,SNDS,,
200828,0000200828,198.0,330.0,SHAKOPEE LIMEROCK,,,OPDC,DLMT,,
200828,0000200828,330.0,428.0,JORDAN SANDROCK,,,CJDN,SNDS,,
200828,0000200828,428.0,429.0,SHALE,,,CSTL,SLSN,,
200830,0000200830,0.0,27.0,LIMEROCK,GRAY,,OPGW,LMSN,SHLE,
200830,0000200830,27.0,45.0,ST. PETER,BROWN,,OSTP,SNDS,,
200830,0000200830,45.0,143.0,ST. PETER,WHITE,,OSTP,SNDS,,
200830,0000200830,143.0,148.0,SHALE,GRAY,,OSTP,SHLE,,
200830,0000200830,148.0,192.0,ST. PETER,GRAY,,OSTP,SNDS,,
200830,0000200830,192.0,323.0,SHAKOPEE,TAN,,OPDC,DLMT,,
200830,0000200830,323.0,400.0,JORDAN,WHITE,,CJDN,SNDS,,
209246,0000209246,0.0,18.0,CLAY,BROWN,,QCUB,CLAY,,
209246,0000209246,18.0,30.0,CLAY & SAND,GRAY,,QLUG,CLAY,SAND,
209246,0000209246,30.0,67.0,SAND,BROWN,,QFUB,SAND,,
278795,0000278795,0.0,18.0,CLAY,BROWN,,,,,
278795,0000278795,18.0,30.0,CLAY & SAND,GRAY,,,,,
278795,0000278795,30.0,67.0,SAND,BROWN,,,,,
329310,0000329310,0.0,2.0,SOIL,BLACK,SOFT,RUUK,SOIL,ORGD,
329310,0000329310,2.0,24.0,CLAY SANDY,YELLOW,SOFT,QLUY,CLAY,SAND,
329310,0000329310,24.0,38.0,CLAY/SANDY,BLUE,SOFT,QLUG,CLAY,SAND,
329310,0000329310,38.0,39.0,SAND MED,BROWN,,QFUB,SAND,,
329310,0000329310,39.0,46.0,SAND/CLAY,BLUE,SOFT,QLUG,SAND,CLAY,
329310,0000329310,46.0,57.0,SANDY CLAY,GRAY,SOFT,QLUG,CLAY,,
329310,0000329310,57.0,61.0,V SAND FINE,LT. BRN,SOFT,QFUB,SAND,,
329310,0000329310,61.0,78.0,V FINE SAND,LT. BRN,SOFT,QFUG,SAND,,
329324,0000329324,0.0,2.0,SOIL,BLACK,SOFT,RUUK,SOIL,ORGD,
329324,0000329324,2.0,22.0,CLAY SANDY,YELLOW,SOFT,QLUY,CLAY,SAND,
329324,0000329324,22.0,31.0,CLAY SANDY,BLUE,SOFT,QLUG,CLAY,SAND,
329324,0000329324,31.0,35.0,SAND MEDIUM,BROWN,SOFT,QFUB,SAND,,
329324,0000329324,35.0,58.0,CLAY SANDY,BLUE,SOFT,QLUG,CLAY,SAND,
329324,0000329324,58.0,63.0,FINE MUDDY SAND,BROWN,SOFT,QNUB,SAND,SILT,
329324,0000329324,63.0,117.0,CLAY SANDY FIRM,GRAY,,QLUG,CLAY,SAND,
329324,0000329324,117.0,127.0,DECOMPOSED STICKY FIRM,YEL/WHT,,KREG,REGO,,
337643,0000337643,0.0,133.0,OVERBURDEN,,,QUUU,DRFT,,
337643,0000337643,133.0,564.0,BASEMENT,,,PCUU,BDRK,,
413668,0000413668,0.0,27.0,FINE SAND,BROWN,SOFT,QFUB,SAND,,
413668,0000413668,27.0,40.0,CLAY,RED,SOFT,QCUR,CLAY,,
413668,0000413668,40.0,51.0,CLAY,BROWN,SOFT,QCUB,CLAY,,
413668,0000413668,51.0,60.0,FINE SAND,RED,SOFT,QFUR,SAND,,
413668,0000413668,60.0,120.0,MUDDY SAND,BROWN,SOFT,QNUB,SAND,MUDD,
413668,0000413668,120.0,190.0,SANDROCK,WHITE,SOFT,CJDN,SNDS,,
413668,0000413668,190.0,215.0,SANDROCK,WHITE,HARD,CJSL,SNDS,,
461415,0000461415,0.0,1.0,ASPHALT,,,PVMT,PVMT,,
461415,0000461415,1.0,7.0,F-M SAND,BROWN,,QFUB,SAND,,
461415,0000461415,7.0,9.0,WEATHERED LIMESTONE,,,OPVL,LMSN,,
